,id,blat,blon,elat,elon,sides,address,type,rate,num_meters,num_safe,num_towed
36,7b4e65fb-9e5f-4b38-a1a8-6dcaf8b28d3f,40.0078653,-75.1532677,40.007966,-75.155236,B,"1500+VENANGO+ST+Philadelphia,+PA",zone,,,,
37,149bf097-eb8b-4bb4-9e1b-a32271e71171,39.9553313,-75.2128016,39.9530268,-75.213279,E,"200+S+MELVILLE+Philadelphia,+PA",zone,,,,
38,d89bbe49-e7e1-4160-801a-b605ebce642e,40.0178828,-75.1917567,40.0147834,-75.1924821,B,"3400+WARDEN+DR+Philadelphia,+PA",zone,,,,
39,811b8c9c-adb6-480c-84b1-5c99f645cc5f,39.95332,-75.238667,39.953558,-75.240634,B,"5800+LARCHWOOD+ST+Philadelphia,+PA",zone,,,,
40,50d8bb94-8a0c-4250-bcba-7038366dd5c6,40.027201,-75.217802,40.0293319,-75.220021,E,"4300+DEXTER+Philadelphia,+PA",zone,,,,
41,61e3f616-dc84-4cae-b0e4-162545d69e96,39.9679769,-75.1435428,39.9701657,-75.1432901,B,"1100+N+04TH+ST+Philadelphia,+PA",zone,,,,
42,ca3c0fd1-11c9-4937-a3dd-9b8549f91340,39.9435204,-75.148774,39.942615,-75.148978,B,"400+S+04TH+ST+Philadelphia,+PA",zone,,,,
43,2d174d9f-df44-49e7-87d3-f8107b222290,39.9226617,-75.1630714,39.9228641,-75.16463,N,"1000+WINTON+ST+Philadelphia,+PA",zone,,,,
44,80ee313d-3ce0-481f-8286-5c5c69cc3def,40.0148981,-75.1859657,40.0158578,-75.187181,W,"3500+HENRY+AVE+Philadelphia,+PA",zone,,,,
45,f54f1948-fb28-4263-a5e1-047961519aa8,39.9398563,-75.1729998,39.9399481,-75.1748662,B,"1800+CARPENTER+ST+Philadelphia,+PA",zone,,,,
46,9a74722a-a29b-4297-ab94-e2f368dffe97,40.0209887,-75.1824723,40.0128297,-75.1744279,B,"3800+STOKELY+ST+Philadelphia,+PA",zone,,,,
47,c05b2874-bea1-4abf-8f9b-e98e018289ff,39.9564197,-75.154081,39.9565963,-75.1556421,S,"900+WINTER+ST+Philadelphia,+PA",zone,,,,
48,20241b11-0918-4042-a009-583ddb66db5a,40.0087052,-75.1513393,40.0089178,-75.1529947,N,"1400+W+PACIFIC+ST+Philadelphia,+PA",zone,,,,
49,4977446b-82df-47ff-a7d9-bd67e76e54c6,39.9422849,-75.184523,39.9418347,-75.1880739,B,"2500+CHRISTIAN+ST+Philadelphia,+PA",zone,,,,
50,68ab217e-f383-4fdf-a27b-643f195e9dbf,39.9750132,-75.1243174,39.975549,-75.1237466,B,"2200+ALMOND+Philadelphia,+PA",zone,,,,
51,fb1c01c0-b4a4-4021-9b2c-a2d8c79b13d4,39.9640553,-75.1628183,39.9675109,-75.1620618,W,"600+N+15TH+ST+Philadelphia,+PA",zone,,,,
52,c8d903d2-3bab-47ad-8151-2e45d068509a,39.9433778,-75.1494668,39.9436183,-75.1505699,N,"400+PINE+ST+Philadelphia,+PA",zone,,,,
