METER NUMBER,BLOCK/LIMITS,STREET,SIDE,DISTRICT,MANUFACTURER,MODEL,RATE,FROM DAY,TO DAY,FROM TIME,TO TIME,LIMIT HR,LIMIT MIN,TIMER,STATUS,INSTALLED,MAINTENANCE ROUTE
CAL01,LOT,CALLOWHILL,N,80,METRIC,P&D,$8.00 ,SUN,SAT,0600A,1159P,24,,24HR,"I		",12/17/14,1-NEQ
12F024,800,RACE,S,12F,METRIC,P&D,$2.00 ,SUN,SAT,0400P,1000P,3,,24HR,"R		",12/17/09,1-NEQ
12F025,800,RACE,S,12F,METRIC,P&D,$2.50 ,SUN,SAT,0800A,0400P,2,,24HR,"I		",12/17/09,1-NEQ
12F025,800,RACE,S,12F,METRIC,P&D,$2.50 ,SUN,SAT,0400P,1000P,3,,24HR,"I		",12/17/09,1-NEQ
12F028,501,RACE,N,12F,METRIC,P&D,$1.50 ,SUN,SAT,0700A,0700P,12,,24HR,"I		",12/17/09,1-NEQ
12F029,101,N 5,E,12F,METRIC,P&D,$1.50 ,SUN,SAT,0800A,0800P,4,,24HR,"I		",12/17/09,1-NEQ
12F030,200,N 4,W,12F,METRIC,P&D,$2.50 ,MON,SAT,0800A,0630P,2,,24HR,"I		",12/18/09,1-NEQ
12F031,300,RACE,S,12F,METRIC,P&D,$2.50 ,MON,SAT,0800A,0630P,3,,24HR,"I		",12/17/09,1-NEQ
12F032,300,RACE,S,12F,METRIC,P&D,$2.50 ,MON,SAT,0800A,0630P,3,,24HR,"I		",12/17/09,1-NEQ
12F033,200,N 3,W,12F,METRIC,P&D,$2.50 ,MON,FRI,0930A,0400P,2,,24HR,"I		",12/29/09,1-NEQ
12F033,200,N 3,W,12F,METRIC,P&D,$2.50 ,SAT,SAT,0800A,0630P,1,,24HR,"I		",12/29/09,1-NEQ
12F034,200,N 3,W,12F,METRIC,P&D,$2.50 ,MON,FRI,0930A,0400P,2,,24HR,"I		",12/29/09,1-NEQ
12F034,200,N 3,W,12F,METRIC,P&D,$2.50 ,SAT,SAT,0800A,0630P,1,,24HR,"I		",12/29/09,1-NEQ
12F035,201,N 3,E,12F,METRIC,P&D,$2.50 ,MON,SAT,0800A,0630P,2,,24HR,"I		",12/29/09,1-NEQ
12F036,201,N 3,E,12F,METRIC,P&D,$2.50 ,MON,SAT,0800A,0630P,2,,24HR,"I		",12/29/09,1-NEQ
12F037,200,RACE,S,12F,METRIC,P&D,$2.50 ,MON,SAT,0800A,0630P,3,,24HR,"I		",12/29/09,1-NEQ
12F038,200,RACE,S,12F,METRIC,P&D,$2.50 ,MON,SAT,0800A,0630P,3,,24HR,"I		",12/29/09,1-NEQ
12F039,200,RACE,S,12F,METRIC,P&D,$2.50 ,MON,SAT,0800A,0630P,3,,24HR,"I		",12/29/09,1-NEQ
